"Date","Condition","SpheroidLabel","CentroidX","CentroidY","CentroidZ","DCGNeighborCount","SurfaceNearestX","SurfaceNearestY","SurfaceNearestZ","SurfaceDistance"
"20160105","Ctrl","20160105_2",272.72394220846235,227.65118679050568,611.4747162022704,11.,272.72394220846235,227.65118679050568,611.4747162022704,0.
"20160105","Ctrl","20160105_2",282.37790262172285,214.7808988764045,605.0842696629213,11.,282.37790262172285,214.7808988764045,605.0842696629213,0.
"20160105","Ctrl","20160105_2",271.68986083499004,199.57355864811134,604.1908548707753,13.,271.68986083499004,199.57355864811134,604.1908548707753,0.
"20160105","Ctrl","20160105_2",273.8773848301536,192.84108887854816,594.2166123778502,11.,273.32394099667096,190.25869171223448,597.8918403603544,4.525745897063488
"20160105","Ctrl","20160105_2",257.6352259992529,236.85786327979082,601.5100859170714,12.,256.38482044599624,237.04641157008973,604.8733019200603,3.593088697506659
"20160105","Ctrl","20160105_2",299.2448559670782,228.64238683127573,601.7082304526749,13.,299.2448559670782,228.64238683127573,601.7082304526749,0.
"20160105","Ctrl","20160105_2",264.04644351464435,215.9058577405858,601.8414225941423,9.,262.96290858858794,215.05735231814305,605.2660461389145,3.6908069322720247
"20160105","Ctrl","20160105_2",249.01722054380664,211.00332326283987,599.849244712991,11.,249.01722054380664,211.00332326283987,599.849244712991,0.
"20160105","Ctrl","20160105_2",283.3014423076923,262.3206730769231,598.5870192307692,14.,283.00644393210564,262.9450315463817,600.2852914902155,1.8332965409853208
"20160105","Ctrl","20160105_2",243.9315245478036,241.30189491817399,600.004737295435,11.,243.9315245478036,241.30189491817399,600.004737295435,0.
"20160105","Ctrl","20160105_2",256.58667621776505,263.3925501432665,595.5315186246419,14.,256.58667621776505,263.3925501432665,595.5315186246419,0.
"20160105","Ctrl","20160105_2",228.3174139051332,219.24463937621832,597.5766731643924,16.,228.3174139051332,219.24463937621832,597.5766731643924,0.
"20160105","Ctrl","20160105_2",291.2087214225233,217.98602878916174,596.9309906858595,11.,292.92138937098997,217.08860308080133,601.80292306334,5.241596082728499
"20160105","Ctrl","20160105_2",236.72222222222223,265.39868287740626,595.9734886862547,11.,236.72222222222223,265.39868287740626,595.9734886862547,0.
"20160105","Ctrl","20160105_2",226.3809926677947,241.6150592216582,595.4689791314157,12.,226.3809926677947,241.6150592216582,595.4689791314157,0.
"20160105","Ctrl","20160105_2",330.514440433213,251.2354306343476,597.2937080969572,9.,330.514440433213,251.2354306343476,597.2937080969572,0.
"20160105","Ctrl","20160105_2",274.5127388535032,239.03702229299364,596.1027070063694,14.,272.7990234868267,242.6640683785796,605.9683724088512,10.650053403559685
"20160105","Ctrl","20160105_2",303.2871853546911,206.63729977116705,596.2337909992373,16.,303.2871853546911,206.63729977116705,596.2337909992373,0.
"20160105","Ctrl","20160105_2",214.6107266435986,254.72029988465974,595.7295271049596,12.,214.6107266435986,254.72029988465974,595.7295271049596,0.
"20160105","Ctrl","20160105_2",313.0593442622951,243.83311475409835,593.8888524590163,9.,315.363603423868,241.8267676526737,599.9424492888992,6.7809345634547915
"20160105","Ctrl","20160105_2",290.93852978453737,284.2629911280101,593.8257287705957,11.,290.93852978453737,284.2629911280101,593.8257287705957,0.
"20160105","Ctrl","20160105_2",260.05160142348757,197.94661921708186,591.0774021352313,13.,258.0763979809089,194.9245893988851,596.2016557207149,6.268338509524441
"20160105","Ctrl","20160105_2",323.9616858237548,192.1653895274585,593.5153256704981,11.,323.9616858237548,192.1653895274585,593.5153256704981,0.
"20160105","Ctrl","20160105_2",298.0941058271936,241.36470194239786,588.877762893503,12.,300.0241466520227,245.16733635039978,603.0671827495493,14.816366689495387
"20160105","Ctrl","20160105_2",352.6539101497504,227.73128119800333,592.0116472545757,11.,352.6539101497504,227.73128119800333,592.0116472545757,0.
"20160105","Ctrl","20160105_2",309.60893617021276,182.70340425531916,591.7936170212766,12.,309.60893617021276,182.70340425531916,591.7936170212766,0.
"20160105","Ctrl","20160105_2",231.4471965160588,292.1309199782254,587.9768644529123,10.,231.4471965160588,292.1309199782254,587.9768644529123,0.
"20160105","Ctrl","20160105_2",245.37363304981773,242.7375455650061,586.951397326853,16.,243.0780340740954,244.15465071081064,599.5274883010524,12.862193663716116
"20160105","Ctrl","20160105_2",213.62170022371365,228.4261744966443,589.5970917225951,13.,213.62170022371365,228.4261744966443,589.5970917225951,0.
"20160105","Ctrl","20160105_2",304.42054099746406,217.06551141166526,586.3427726120034,13.,303.84192361456843,214.01842738830516,598.163596956276,12.220941342603401
"20160105","Ctrl","20160105_2",211.03626373626375,259.5716483516484,585.9852747252747,13.,210.00080743863796,262.08938553984825,590.2164463610901,5.0313003989888365
"20160105","Ctrl","20160105_2",325.50582241630275,223.07423580786025,590.4723435225619,15.,326.5302411224023,222.48868676003434,596.1698897702623,5.818447784203368
"20160105","Ctrl","20160105_2",269.27720207253884,215.9559585492228,590.4637305699482,15.,264.64013478570763,212.32471728279853,605.1196585214094,15.795079305784029
"20160105","Ctrl","20160105_2",320.29169929522317,209.72317932654659,587.2290524667188,12.,321.8003487306887,208.86084809891463,595.6197621237689,8.568759934447522
"20160105","Ctrl","20160105_2",337.92366159947125,207.3684732319894,589.525776602776,11.,338.46698809874715,207.0523887474321,592.4169661130742,2.958731125102704
"20160105","Ctrl","20160105_2",240.5343811394892,208.68958742632614,594.5127701375245,11.,240.5343811394892,208.68958742632614,594.5127701375245,0.
"20160105","Ctrl","20160105_2",360.9921465968586,180.2283304246655,588.3161721931356,10.,360.9921465968586,180.2283304246655,588.3161721931356,0.
