"Date","Condition","SpheroidLabel","CentroidX","CentroidY","CentroidZ","DCGNeighborCount","SurfaceNearestX","SurfaceNearestY","SurfaceNearestZ","SurfaceDistance"
"20160105","EBSS","20160105_3",253.3898128898129,247.46673596673597,480.63929313929316,14.,253.3898128898129,247.46673596673597,480.63929313929316,0.
"20160105","EBSS","20160105_3",253.35069611137783,235.6339414306289,481.79956793086893,12.,253.35069611137783,235.6339414306289,481.79956793086893,0.
"20160105","EBSS","20160105_3",293.2919075144509,240.4306358381503,483.7080924855491,8.,293.2919075144509,240.4306358381503,483.7080924855491,0.
"20160105","EBSS","20160105_3",293.5538312318138,250.02764306498545,473.7298739088264,11.,294.07893247331083,251.97110717807925,477.28739253960157,4.087630472659875
"20160105","EBSS","20160105_3",242.34017363851618,227.74506708760853,470.3066298342541,13.,241.61555619360598,226.800786257732,480.07521776732665,9.840835682669988
"20160105","EBSS","20160105_3",302.5134069400631,226.9179810725552,478.6301261829653,11.,302.5134069400631,226.9179810725552,478.6301261829653,0.
"20160105","EBSS","20160105_3",288.7074913750616,231.46895022178413,473.2693445046821,14.,288.5726653310237,229.55621748820792,480.8982271921386,7.866166514333252
"20160105","EBSS","20160105_3",243.62533097969992,217.2908208296558,476.2378640776699,10.,243.62533097969992,217.2908208296558,476.2378640776699,0.
"20160105","EBSS","20160105_3",276.6310629514964,256.4907120743034,477.3937048503612,13.,276.6310629514964,256.4907120743034,477.3937048503612,0.
"20160105","EBSS","20160105_3",204.07458193979934,246.414381270903,474.81103678929765,9.,204.07458193979934,246.414381270903,474.81103678929765,0.
"20160105","EBSS","20160105_3",195.59519136408244,231.51570166830226,477.1172718351325,12.,195.59519136408244,231.51570166830226,477.1172718351325,0.
"20160105","EBSS","20160105_3",231.7108843537415,209.12131519274377,477.6315192743764,10.,231.7108843537415,209.12131519274377,477.6315192743764,0.
"20160105","EBSS","20160105_3",273.66312056737587,231.2677304964539,476.5833333333333,13.,273.5886411992378,230.21111620186227,480.79761082115476,4.345355645763891
"20160105","EBSS","20160105_3",209.4318181818182,229.71753246753246,470.5909090909091,11.,208.89246972471798,229.0146837958084,477.8618806452905,7.324747119057657
"20160105","EBSS","20160105_3",198.44895833333334,216.19375,475.1947916666667,12.,198.44895833333334,216.19375,475.1947916666667,0.
"20160105","EBSS","20160105_3",212.43357271095152,211.42519449431478,468.9392579293836,11.,211.65553212111627,209.99722485402012,475.4151177268937,6.676915797734907
"20160105","EBSS","20160105_3",292.86414392059555,205.26116625310175,474.8827543424318,15.,292.86414392059555,205.26116625310175,474.8827543424318,0.
"20160105","EBSS","20160105_3",226.5284956925116,197.66235917826376,474.4821073558648,12.,226.5284956925116,197.66235917826376,474.4821073558648,0.
"20160105","EBSS","20160105_3",223.68091913903433,225.4912739965096,471.6180919139034,18.,223.16925396602971,224.824500628607,478.51586434526666,6.948787843090701
"20160105","EBSS","20160105_3",273.0566298342541,209.1804788213628,468.72375690607737,12.,273.39912959595654,209.82616621982515,475.43678175880814,6.752697311199429
"20160105","EBSS","20160105_3",317.70107238605897,213.94504021447722,471.19839142091155,11.,317.70107238605897,213.94504021447722,471.19839142091155,0.
"20160105","EBSS","20160105_3",204.1991988346686,262.0134741442098,469.9923525127458,11.,204.1991988346686,262.0134741442098,469.9923525127458,0.
"20160105","EBSS","20160105_3",301.8024167210973,259.57446113651207,467.28380143696927,13.,302.32898817355726,261.52336668074196,470.851280628639,4.099075273506538
"20160105","EBSS","20160105_3",220.50354358610915,256.80970942593905,469.83238837703755,12.,220.40236813705226,258.5546025262359,472.6838540336049,3.3445096491920077
"20160105","EBSS","20160105_3",234.85528815706144,257.6690943635212,469.47910069664346,12.,234.74543040602285,259.5637242721427,472.5752629288286,3.631516457916116
"20160105","EBSS","20160105_3",266.25504885993485,237.18338762214984,467.71172638436485,15.,266.010618441322,233.71573368259504,481.5423701754077,14.260823179212567
"20160105","EBSS","20160105_3",273.6264767199444,255.73349548297426,463.7585128561501,15.,273.64103895244875,262.6515999399944,472.55132803136695,11.188117806064696
"20160105","EBSS","20160105_3",309.320726172466,207.21180030257187,465.08850226928894,11.,310.6681902033174,205.8045845882711,470.85524791763,6.086975501320282
"20160105","EBSS","20160105_3",321.919740777667,201.63160518444667,463.69641076769693,11.,322.6561782987209,200.86251122089726,466.84814452279335,3.3267508788904103
