ID,x,y,fate,NANOG,GATA6
0,0.06317609901118967,-0.010093932247373644,0,3e-323,0.09954430700272991
0,-0.958225390883805,0.9956968941619899,0,5e-324,0.09967004888123775
0,-0.801081417100424,-0.9972402946943759,0,5e-324,0.09967018146679507
0,0.9166154560921583,1.0260003284308488,0,5e-324,0.09967004888123775
0,0.9184498736267221,-0.9927354378068433,0,5e-324,0.09967018146679507
0,0.9442230145643292,-0.008769163063548812,0,3e-323,0.09954417410954469
0,-0.045826887763024966,0.811121032290393,1,0.0995835028043367,5e-324
0,-0.8936775403753429,-0.04074866158987783,0,3e-323,0.09954417410954469
0,0.016271354816475472,-0.8310373707957163,1,0.09958070875805397,5e-324
1,0.07065844110921544,-0.00800010850617844,0,3e-323,0.09954430700272991
1,-1.027021672515673,1.0711124819979494,0,5e-324,0.09967004888123775
1,-0.8738289178572473,-1.077674670559346,0,5e-324,0.09967018146679507
1,0.9689851295563412,1.0948866066396137,0,5e-324,0.09967004888123775
1,0.9870240381615549,-1.0654022567347314,0,5e-324,0.09967018146679507
1,1.0209477764608916,-0.007555425598269349,0,3e-323,0.09954417410954469
1,-0.053604423969812055,0.8717899648176338,1,0.0995835028043367,5e-324
1,-0.9506586184622353,-0.03840929856632142,0,3e-323,0.09954417410954469
1,0.017422809505242574,-0.888553898804854,1,0.09958070875805397,5e-324
2,0.08126529845829362,-0.005401140334887026,1,0.09953958391347947,1.5e-323
2,-1.0832347006953487,1.1155210992958038,0,1.5e-323,0.0995768947114178
2,-0.9331606851485886,-1.126456119373545,0,0.0,0.09977618631315105
2,1.0057722623766263,1.1338743999669163,0,1.5e-323,0.09957690578828218
2,1.0369867483700468,-1.1092897310910739,0,5e-324,0.09969215969151915
2,1.0780332261828702,-0.007196111380893943,0,5e-324,0.09967115711950268
2,-0.06189646546750961,0.9250801722885021,0,2e-323,0.09956638293033375
2,-0.9803319874046045,-0.03495461492753182,1,0.09953961773750654,1.5e-323
2,0.016490865316496028,-0.938984559757796,1,0.09953968854794093,1.5e-323
3,0.09498636806663618,-0.002425447913000993,1,0.09953958391347947,1.5e-323
3,-1.1342367844348722,1.1473727337386963,0,1.5e-323,0.0995768947114178
3,-0.9860708694448612,-1.1620469239982594,0,0.0,0.09977618631315105
3,1.0347777154953484,1.1606910893061566,0,1.5e-323,0.09957690578828218
3,1.0774554442739384,-1.1419233543810174,0,5e-324,0.09969215969151915
