"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
2,47.21401999999999,72.18934,9.3049,"TE",10.,3.46951460401306,5.42088754914582
2,59.17134999999999,76.34115,9.8891,"DP",9.,5.49811310936822,5.75738862554518
2,68.58251,68.69385,10.541,"DP",9.,5.74579220661852,5.53948608629505
2,57.061749999999996,62.65219,11.321,"DP",11.,5.760223911179,5.09873599755816
2,80.33766999999999,96.38821,14.287,"TE",6.,2.51468502507422,5.27960606860393
2,68.05217999999999,86.56978,15.607,"DP",10.,5.88016057314991,5.00602739566788
2,54.42182,86.83641,17.37,"DP",11.,5.61960742452178,5.85923942041356
2,53.47836,44.32796999999999,23.303,"TE",9.,5.13320725223512,5.93721981445725
2,61.79955999999999,54.776349999999994,22.043,"DP",8.,5.92614452397893,5.39565130839977
2,40.52483,74.81755,21.752,"DP",11.,5.86366381955711,6.06266565229661
2,109.35346,84.2375,23.675,"TE",2.,3.90724421011913,5.52436096957893
2,39.68978,88.34828999999999,22.389,"TE",11.,3.78338020605008,5.66548819485144
2,59.82474,77.76806,24.37,"DP",13.,4.0929318527663,6.17502969294769
2,62.71665,104.16443,25.901,"TE",11.,3.60389810337225,5.493789140775
2,57.51004,65.42103999999999,26.762,"DP",13.,4.26786415136863,6.24708325360672
2,108.38363,51.861,30.601,"TE",0.,3.07662167746007,4.83525888369807
2,75.77273,104.88521,27.932,"TE",7.,2.54595659426134,5.19842438355297
2,35.99798,67.8881,29.942,"DP",11.,6.16587134116624,5.46582339951801
2,50.51613,96.54936,29.815,"DP",7.,6.18349333419185,5.51770763515047
2,59.50244,91.21383,29.767,"DP",10.,5.99285893820585,6.12003671986191
2,95.47990999999999,104.28456,30.995,"TE",4.,2.42320578483729,5.11148175612559
2,46.9972,57.466089999999994,32.041,"DP",12.,6.10521865115888,4.85992781643577
2,63.0243,39.33232,34.364,"TE",7.,2.73103578971608,5.58871996733171
2,49.308969999999995,87.82968,30.391,"DP",11.,6.16144310667782,5.82672308152003
2,41.78473,97.17052,37.706,"TE",10.,4.18686316057929,6.13997776996802
2,51.93132,76.16242,34.716,"DP",13.,6.26727833238971,4.81131505529161
2,36.42283,57.11155999999999,40.688,"TE",11.,3.41502860589392,5.46642724822025
2,40.05603,83.40831,37.398,"DP",11.,6.35084240863269,5.55135200217253
2,75.05488,36.13276,45.707,"TE",3.,3.85948794104981,5.68667647848879
2,48.623349999999995,49.516999999999996,41.212,"DP",8.,6.2598492304085,4.72756784775599
2,58.040369999999996,48.72297,43.875,"DP",12.,6.17909867187468,4.47016212402633
2,55.10158,97.48989,41.492,"DP",13.,6.39646154009455,5.57814004981542
2,78.72617,112.10473,42.87,"TE",5.,3.15393867688572,5.01276068764459
2,32.684149999999995,77.34614,46.728,"TE",10.,3.85435442300877,5.60328747941835
2,47.81759999999999,64.03222,44.981,"DP",12.,6.00724521619784,6.11970142337102
2,47.84396999999999,91.38963,46.475,"DP",9.,5.59749158171574,6.34137478711696
2,40.173230000000004,72.18055,45.22,"DP",9.,6.43379407357138,5.46033811127901
