"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:13:48","","","","","",""
"from Hadjantonakis lab (https://www.nature.com/articles/ncomms13463), postprocessed in https://www.sciencedirect.com/science/article/pii/S0006349518312578","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Population","DCGNeighborCount","Nanog-ebLogCor","Gata6-ebLogCor"
14,60.56309999999999,73.12401,51.128,"DP",12.,6.2175181101869,4.18316506907113
14,46.70713,60.01226,53.661,"EPI",12.,6.24838763858003,3.1636561766253
14,64.43948999999999,80.97934,55.799,"DP",17.,6.7462983199652,4.14670959669861
14,47.750209999999996,77.07951,56.594,"DP",12.,5.81774534518714,4.13801904382441
14,50.58645,87.16749999999999,55.722,"EPI",12.,5.59853715792396,3.51479034967869
14,55.5235,96.4849,59.948,"TE",11.,5.10540233160286,4.78971870540152
14,68.40084999999999,45.96291,60.869,"DP",11.,4.27098828060037,4.21831953652565
14,61.576879999999996,59.92436,60.187,"DP",14.,6.02182913999201,3.91985401206908
14,75.09003999999999,102.51191,64.972,"TE",6.,5.41943692653854,4.30190399427616
14,79.47625,40.1996,65.111,"TE",9.,1.71035956224754,4.93062700049744
14,93.27068999999999,40.416419999999995,65.692,"TE",5.,0.419135083251986,4.65188802235744
14,51.283789999999996,68.43894,62.421,"DP",10.,4.30960350403965,5.29023857644091
14,52.93630999999999,56.062619999999995,65.95,"DP",11.,5.93465628573042,3.66107691664157
14,60.920559999999995,70.09732,65.934,"DP",15.,4.42254288799462,5.47735366488621
14,64.30763999999999,95.81978999999998,66.207,"DP",7.,6.81422465730708,4.1506246255682
14,46.296929999999996,76.32942999999999,70.009,"TE",11.,3.53099236370237,4.10241669066268
14,55.97179,83.32919999999999,69.001,"EPI",11.,5.85958350951675,3.43052308823218
14,70.68038999999999,45.64061,73.901,"TE",10.,3.07755256494177,4.04006667515316
14,67.72108999999999,63.73336,75.461,"DP",10.,4.73129824123464,4.75403923658684
14,63.74215,55.10158,73.85,"DP",8.,5.11700062867509,4.41393398620934
14,71.42168,90.19126,76.742,"TE",9.,4.44722695722765,4.47780589107296
14,97.63053,56.13000999999999,80.505,"TE",6.,0.759580152546067,4.49315952148304
14,98.18430000000001,85.16631,80.146,"TE",3.,4.05967121866765,5.2047296711496
14,63.25576999999999,83.83609,78.619,"PRE",10.,3.7180574890309,5.35388768631183
14,55.06349,65.88691,80.207,"TE",11.,3.65790083925192,3.42128061503875
14,78.66171,60.11774,81.876,"TE",11.,2.7001867490952,4.63151740836113
14,70.57784,75.38304,82.578,"TE",8.,2.59741011468396,3.90122905105293
14,81.28113,77.40767,82.888,"TE",8.,4.49343204582479,4.98420338426029
15,88.23695,61.3542,4.2352,"TE",8.,4.70213721003013,3.92920318670748
15,74.62416999999999,79.73995,5.1683,"TE",9.,2.14641262797404,3.28290868571927
15,76.85683,94.63021,4.6224,"TE",6.,4.82297936408974,4.23061461766766
15,92.77551999999999,75.79031,4.5259,"TE",9.,4.69619405293591,4.21781536766797
15,76.44076999999999,63.0829,8.8606,"DP",10.,4.76709877973076,5.29332749884926
15,70.10904,50.50733999999999,12.599,"TE",8.,2.72008093364159,3.9468541306013
15,60.551379999999995,93.16228,12.605,"TE",9.,4.58951886649321,4.96930981115402
15,55.198269999999994,72.64349,16.55,"TE",9.,1.1736962685411,3.4504513832827
15,82.3623,104.32265,16.081,"TE",8.,4.10210363529621,5.26448378761586
15,76.77185999999999,85.69664,18.111,"DP",10.,5.54199777653341,5.22719183297868
15,61.046549999999996,59.833529999999996,19.877,"EPI",9.,4.07077105140174,3.53614697058029
15,63.12684999999999,76.75428,20.517,"DP",13.,3.93929857504306,5.68286507906698
15,83.94449999999999,46.88586,21.27,"TE",8.,5.81759719386758,4.96247631057732
15,106.52600999999999,76.30306,22.356,"TE",5.,-0.0834604430072129,2.96000105045973
15,83.93864,96.82477999999999,21.313,"DP",11.,5.91868950889917,4.69208446954763
15,101.60947,97.41077999999999,22.224,"TE",5.,3.4692208639641,4.44254246804667
15,74.36926,73.09470999999999,24.491,"DP",13.,5.67614599610997,4.93031201766071
15,100.26459999999999,54.25187999999999,26.77,"TE",5.,1.52274840743126,4.50414415302351
15,93.12418999999998,107.59252999999998,31.063,"TE",4.,3.42973078918782,4.06025037462517
15,64.17286,47.879129999999996,31.585,"TE",7.,2.5597343052174,3.90640234335549
15,65.12218,93.26776,31.215,"DP",13.,6.1881188099439,4.46083840474268
15,52.048519999999996,61.55344,33.825,"TE",10.,5.06828668142182,5.15405161126212
15,68.30708999999999,62.02224,33.955,"EPI",13.,3.95281899384904,2.68518849926667
15,65.94257999999999,104.54825999999998,35.643,"TE",8.,4.84976050291225,5.29653197240153
15,56.724799999999995,72.64641999999999,38.331,"DP",11.,6.1889488373988,5.74834842083664
15,69.12455999999999,79.70478999999999,39.194,"DP",13.,4.98781005006127,5.15940179347654
15,53.27619,88.77314,43.06,"TE",9.,3.90346562948053,4.94290945394086
15,75.73757,45.400349999999996,48.955,"TE",6.,5.63270121027842,5.43389787477211
15,62.713719999999995,58.24547,47.895,"TE",8.,2.37838510769983,3.02278017028575
15,109.65525,70.71848,48.347,"TE",5.,2.49691893457274,4.6576126346361
15,97.80926,50.89703,49.192,"TE",3.,2.63177981751033,4.65790757709427
15,67.59509999999999,97.99385,51.82,"TE",6.,3.87770723433713,4.07240732932068
15,72.95993,86.78367,53.84,"TE",8.,2.88933855856492,2.25040807591593
15,75.64381,70.74777999999999,57.75,"TE",7.,2.47643588324499,2.86152955510592
15,103.64874999999999,90.60146,58.231,"TE",2.,3.63453541271535,4.50435065316238
15,61.86109,74.31652,58.691,"TE",9.,4.69846887380275,4.39814028678005
15,89.53786999999998,80.11498999999999,64.408,"TE",5.,3.17409643501813,3.90456763934295
16,85.95741,62.558429999999994,3.9668,"TE",8.,3.09437880399666,4.34819697545669
16,83.43175,77.80028999999999,4.559,"TE",10.,0.320452876912001,3.04606888597338
16,64.4893,82.77835999999999,5.8624,"TE",10.,1.03310569285551,2.70856062131867
16,96.94198,65.40638999999999,7.8012,"TE",8.,2.4661775637837,4.45481146229196
16,96.16846,78.03761999999999,8.7715,"TE",6.,-0.597582266892448,2.93920635512273
16,74.37512,84.17011,9.624,"DP",9.,5.45136697161416,4.27574867369938
16,97.86492999999999,90.28501999999999,9.1742,"TE",7.,2.63037610395767,4.36991988578083
16,86.52875999999999,99.62878999999998,13.477,"TE",7.,1.52498073043389,4.41704284361924
16,91.97269999999999,53.27912,15.372,"TE",6.,0.15489717874934,4.60940722078299
16,76.66638,56.88595,15.796,"DP",7.,5.62233254366018,4.37124628202425
16,59.56397,57.225829999999995,16.21,"TE",8.,0.308413241711759,3.27669210561542
16,71.53887999999999,71.1404,17.55,"DP",12.,6.00388095532039,3.78120525374735
16,49.50234999999999,76.61364,17.2,"TE",7.,0.00234925027607957,2.8460497279591
16,83.70716999999999,69.45272,19.588,"DP",17.,4.92676578347848,5.02494860271401
16,85.32453,88.38051999999999,18.974,"DP",12.,4.9825534772672,5.52109589367784
16,60.7682,82.87211999999998,20.933,"DP",9.,5.56107218227487,3.89779692512262
16,69.61386999999999,98.41577,21.394,"DP",11.,5.89727380121197,4.93928374409283
16,110.80088,77.81200999999999,21.188,"TE",7.,-0.131066352824742,2.83131236692954
16,59.147909999999996,99.71083,28.185,"TE",9.,2.48500753739576,4.74406839930828
16,90.83585999999998,102.23942,25.195,"TE",7.,2.25554946250764,4.50371430753738
16,74.64761,85.13700999999999,26.348,"DP",12.,4.65664628803627,5.26461928173656
16,69.21832,55.795989999999996,30.486,"DP",8.,4.57702697480774,5.15698574892801
16,104.83539999999999,52.950959999999995,31.792,"TE",7.,2.09127220096053,4.66601939389394
16,64.75592999999999,69.85999,32.802,"DN",14.,2.09243964164354,3.29578231115457
16,83.49621,98.41869999999999,34.495,"DP",7.,5.02050955239597,5.61134327000911
16,80.49296,49.08922,37.002,"TE",8.,-0.0216236570216943,4.5507710845795
16,57.27271,89.14524999999999,36.32,"DP",9.,5.40934345762532,4.73760551852122
16,107.35519999999998,65.2511,38.096,"TE",4.,-1.82182058442932,1.59661220932689
16,78.26908999999999,87.25833,37.772,"DN",14.,1.77398922991639,3.51696600431327
16,60.548449999999995,56.033319999999996,42.421,"TE",8.,1.63770869156713,4.00533841013043
16,78.67928999999998,62.74595,43.047,"DP",11.,4.85748329013556,4.04816078696695
16,73.10936,101.14359999999999,45.877,"TE",10.,3.52882402110028,4.49300863319773
16,55.277379999999994,79.6081,46.89,"TE",8.,3.12561576916908,4.11062078530727
16,92.57334999999999,100.90626999999999,47.986,"TE",5.,2.74371089033857,4.7042597466233
16,88.12561,57.90559,51.425,"TE",7.,0.816341241441085,3.77694825113965
16,70.07387999999999,72.17761999999999,50.803,"DP",8.,5.37606999855805,3.59586856121048
16,64.1377,85.07255,48.225,"DP",7.,5.6094601004332,4.55345936447654
16,79.61102999999999,78.46247,56.858,"TE",8.,0.866629228277007,2.20848083275709
17,76.02471,78.03175999999999,3.3379,"TE",6.,3.59166719592903,4.36418475380611
17,59.21823,56.77461,9.0431,"TE",6.,3.18290257172952,4.37762406901164
17,93.88892,60.34628,13.068,"TE",5.,3.04965410310671,4.06828533225527
17,56.04211,74.12021,7.6722,"TE",8.,2.31416939993688,3.94638614855649
17,55.51763999999999,93.73363,16.006,"TE",9.,3.27584986053652,4.28982993861332
17,101.11137,84.16717999999999,19.828,"TE",5.,2.9700468113856,4.0478539074936
17,96.91560999999999,98.67067999999999,24.691,"TE",3.,3.03233013552423,4.103640430422
17,107.93240999999999,62.159949999999995,30.694,"TE",4.,4.47150760211859,4.09873017779108
17,42.485,66.36743,15.868,"TE",10.,3.68126014054592,4.26151946555696
17,64.58305999999999,42.452769999999994,30.424,"TE",5.,3.88125254637134,4.63991421043477
17,45.505829999999996,87.87069999999999,16.347,"TE",8.,4.36473576630472,4.36973709860185
17,88.61784999999999,88.14026,13.707,"TE",5.,2.33729278071302,3.7608841283026
17,67.32553999999999,101.35455999999999,18.613,"TE",5.,2.50692028337639,4.24235699049942
17,98.52711,49.42909999999999,34.947,"TE",2.,3.91845101529001,4.61904826140901
17,58.45057,106.88053999999998,33.929,"TE",9.,2.93432351806399,4.34258384125023
17,31.6147,87.16749999999999,32.571,"TE",11.,3.53334191771306,4.21856395542544
17,49.00717999999999,58.94866999999999,21.656,"TE",8.,4.04999113216117,4.42729255062651
17,111.59783999999999,78.44782,41.336,"TE",3.,3.45410283474073,4.21642095853835
17,46.20024,48.670230000000004,32.89,"TE",11.,3.89430495848605,4.44978086642089
17,82.74027,109.05166999999999,40.322,"TE",5.,2.49489848319625,4.31621717848309
17,111.58318999999999,66.17112,60.281,"TE",4.,3.02047664653171,4.03527144064495
17,55.95128,43.64821,44.592,"TE",8.,3.68519255881827,4.51493211950853
17,93.75999999999999,102.31559999999999,62.444,"TE",4.,2.95404651829109,4.23760502576389
17,63.821259999999995,110.57526999999999,54.543,"TE",7.,3.73127225917422,4.3822378099196
17,49.76898,104.60392999999999,50.508,"TE",8.,3.86582723787272,4.3242732160708
17,93.62522,48.03442,65.01,"TE",4.,3.69956659275675,4.46016911864216
17,76.13311999999999,41.35401999999999,56.876,"TE",5.,3.40181491641687,4.37060753711903
17,25.986463,77.14983,49.303,"TE",9.,3.62224347127467,4.58568928699753
17,35.719629999999995,54.99903,54.632,"TE",13.,3.38643787992695,4.06450269709073
17,105.5093,81.65616999999999,72.526,"TE",4.,3.08409785502375,4.97788003935342
17,75.28341999999999,105.99860999999999,73.388,"TE",4.,3.98258109889643,4.36203472603354
17,96.19483,60.413669999999996,77.217,"TE",5.,4.12015010114728,4.24503116222499
17,48.491499999999995,48.72004,61.309,"TE",9.,3.83901565886374,4.21571976635967
17,36.38767,92.7931,67.154,"TE",10.,3.63806383319376,3.9687376371957
17,85.42415,96.58451999999998,81.798,"TE",4.,3.06712872878394,4.66826603224873
17,77.57175,75.23653999999999,91.073,"TE",5.,2.9279540733913,3.91788317628242
17,69.35603,48.74348,78.148,"TE",6.,4.27004463846004,3.9307735914504
17,56.02746,100.66600999999999,74.963,"TE",8.,3.36882990953853,4.18838069899463
17,43.33176999999999,63.51361,76.755,"TE",7.,3.6410195157861,4.09174180740801
17,51.98699,51.77603,74.566,"TE",9.,3.63265309374559,4.11529101264399
17,34.04074,70.95580999999999,71.512,"TE",11.,3.32518035542902,4.26319840421955
17,66.31761999999999,64.84383,88.988,"TE",5.,3.46940762237879,3.90088205202016
17,52.09246999999999,84.92018999999999,84.631,"TE",9.,3.05575491567926,3.82460893149259
17,51.19003,69.32087,86.199,"TE",7.,3.06615594819334,3.52483388489246
17,45.78711,50.40479,48.748,"DP",7.,5.37584924128912,4.21973843554274
17,41.82575,89.28882,26.887,"DP",6.,5.70007305980636,4.18697076729666
17,34.75566,68.6792,55.876,"DP",11.,4.1713424855477,4.87123318601499
17,45.327099999999994,69.40876999999999,33.765,"DP",12.,5.09053998859197,4.87194932013969
17,37.57725,80.75666,60.583,"DP",12.,4.38928099919027,5.20857322937433
17,41.75836,62.28008,63.219,"DP",10.,5.50422314438748,4.34012680122804
17,40.23769,59.67238,30.396,"DP",8.,4.89180418112811,4.58953384061694
17,35.60243,83.1534,48.381,"DP",9.,5.5586219186668,4.57552867161411
17,42.07773,74.45423,44.346,"DP",11.,5.056627504784,4.95195784138876
17,45.86915,81.50674,37.324,"DP",14.,4.52647674298958,4.84286671582355
17,45.083909999999996,78.84043999999999,23.789,"DP",11.,5.79648625927316,4.05327192987913
17,31.53852,76.05986999999999,41.045,"DP",9.,5.11244930278079,4.6913009156319
17,46.22661,93.57540999999999,61.941,"DP",11.,4.72847260422543,5.29152898930894
17,45.502900000000004,96.36477,34.811,"DP",8.,5.70087275682594,4.31855079321689
17,43.366929999999996,86.91551999999999,72.698,"DP",7.,4.54360320665163,5.37255748147621
17,43.082719999999995,76.00713,70.455,"DP",13.,5.08770956696855,4.45980957808561
17,33.715509999999995,66.43482,35.49,"DP",12.,5.86069363766533,4.07706868575356
17,44.58874,62.3797,48.623,"DP",15.,5.6479681486132,4.41360062261272
17,43.37865,92.38875999999999,48.795,"EPI",11.,4.89274308343097,3.29767810659317
18,79.57587,72.33291,3.7113,"TE",10.,4.86215283379231,4.19071158162608
18,58.47400999999999,62.03103,5.6337,"TE",9.,4.91459037357112,4.34571338592922
18,74.48938999999999,54.31634,8.0805,"TE",9.,4.64994590134473,4.50031519244403
18,63.956039999999994,88.58268999999999,7.6409,"TE",10.,4.9155415432731,4.46681062811509
18,65.94551,73.24121,5.4552,"TE",11.,5.49719645788172,4.49864850524338
18,62.3504,42.8073,18.746,"TE",9.,4.60495390954594,4.77949544572113
18,45.20697,87.55133,18.719,"TE",7.,5.90925853057149,5.20676191365501
18,49.45547,73.60453,10.429,"TE",11.,5.48547934002254,4.57986791475103
18,84.94363,54.05557,13.796,"TE",11.,4.94050889147954,4.60861659296169
18,93.63694,68.26899999999999,6.534,"TE",6.,5.44592935441706,4.62150370746281
18,81.62686999999998,88.94015,13.536,"TE",7.,5.41135144138223,4.5710589718444
18,103.34402999999999,55.795989999999996,26.116,"TE",5.,5.91106642496692,4.93050049442761
18,82.3916,98.96074999999999,27.404,"TE",7.,4.84074890610203,4.86783240709824
18,79.01916999999999,43.949999999999996,30.582,"TE",8.,4.85034924761255,4.67182609672164
18,48.55303,52.08954,20.448,"TE",9.,5.46161810678223,4.63907030543665
18,91.42478999999999,46.41705999999999,32.239,"TE",7.,5.17018585937063,5.03000504659378
18,46.378969999999995,49.994589999999995,33.282,"TE",7.,4.82935786396262,4.80150103388792
18,108.29866,83.71889,39.098,"TE",0.,5.19874758633657,4.99978226516539
18,47.07337999999999,96.24757,33.314,"TE",7.,5.88883972194322,5.22794685681458
18,39.678059999999995,69.69298,33.134,"TE",10.,5.37116606287573,4.66424034290598
18,40.9907,85.07255,38.976,"TE",9.,5.99537983332794,4.77973006321262
18,82.93365,44.93448,46.899,"TE",6.,5.31006510139974,4.73704855445701
18,77.28168,103.75422999999999,42.016,"TE",4.,4.73986125337088,4.8396497216441
18,59.08051999999999,100.53123,58.723,"TE",6.,4.98171974112536,4.72533088403696
18,101.98743999999999,52.01922,52.074,"TE",5.,6.08909970395122,5.06203345980089
18,95.88717999999999,62.40607,74.538,"TE",2.,5.42408724770056,4.89937628814524
18,42.87762,67.49840999999999,45.568,"TE",9.,5.49063024798567,4.40138644351671
18,75.81667999999999,50.01217,60.768,"TE",7.,5.01652934839617,4.67844804030599
18,45.46480999999999,78.90197,55.16,"TE",8.,5.85409490713082,5.09576565391312
18,62.25371,73.50198,72.807,"TE",6.,4.14224256986762,4.32092396754993
18,63.82419,57.413349999999994,63.028,"TE",7.,4.22418408682063,4.20267294086693
18,54.30462,68.18109999999999,65.995,"DP",6.,5.73084640663901,4.25493417835656
18,75.48558999999999,56.57829999999999,20.506,"DP",11.,5.89141858164128,4.30521030929359
18,58.44178,48.38016,32.563,"DP",11.,5.28040122001224,5.05393749435493
18,67.53357,89.23315,20.39,"DP",9.,5.92057685443031,4.41931170974165
18,68.37741,63.64545999999999,10.388,"DP",14.,5.73843857220973,4.41987419406091
18,52.681400000000004,71.77035,55.516,"DP",10.,6.45682496828794,3.99657024622231
18,70.59835,53.70983,39.221,"DP",13.,5.31341576316489,4.89670089261601
18,55.33304999999999,87.99962,21.32,"DP",11.,6.01340319065801,4.65342420905324
18,73.3672,75.14864,19.512,"DP",15.,4.52042368003639,4.88634284283984
18,62.61703,97.28478999999999,36.76,"DP",9.,4.20036532106415,4.21533735279528
18,49.17419,77.42524999999999,28.734,"DP",10.,5.76149707720335,4.90436026594862
18,51.521119999999996,55.883889999999994,40.9,"DP",12.,6.38584441176453,4.24958893585255
18,69.24469,48.79622,24.68,"DP",11.,6.08204892324525,3.99802583606816
18,52.35909999999999,62.22441,25.869,"DP",14.,5.83328547940832,5.05606690540889
18,61.27508999999999,76.90957,28.819,"DP",12.,6.06934349952576,4.57864596317662
18,50.5132,73.71587,43.038,"DP",13.,6.48006280367058,4.32103379876327
18,64.32229,63.05067,29.088,"DP",12.,4.47724516527238,3.89972753621549
18,61.54465,64.26955,44.463,"DP",13.,5.52780615658185,3.92478297787626
18,65.70818,82.58791,37.505,"DP",17.,6.20118278727413,3.68035060349149
19,66.00704,65.56168,3.8271,"TE",10.,4.66591816783631,4.83755862708155
19,73.99128999999999,81.38660999999999,5.8237,"TE",8.,4.72301368252515,4.80929011451399
19,80.22926,59.40868,6.5549,"TE",7.,4.38726748843481,4.59465399847269
19,55.08986,81.84661999999999,9.5998,"DP",9.,5.69527714722527,4.46693036959982
19,90.45496,77.95558,9.1233,"TE",5.,4.11248415952402,4.61537398882478
19,45.415,64.53325,14.659,"TE",9.,4.59752075478266,4.46753165697256
19,43.428459999999994,78.91662,12.702,"TE",9.,4.96769357881795,4.90903384202297
19,69.59629,47.73555999999999,17.207,"TE",5.,3.03944225696132,4.21572875115002
19,61.972429999999996,70.77415,20.087,"DP",12.,6.17923774087278,5.25705463878933
19,71.11695999999999,82.7725,18.626,"DP",9.,6.17407118078183,4.73478008753633
19,56.590019999999996,96.85115,23.316,"TE",10.,4.97038065171271,4.79219723550068
19,49.53458,53.079879999999996,21.971,"TE",8.,4.90649491750017,4.6994441779692
19,72.16883,98.25755,24.018,"TE",7.,4.6259277107718,4.754804980299
19,60.0064,58.626369999999994,23.667,"DP",10.,6.32044006592897,4.54929413254503
19,114.00336999999999,79.02502999999999,27.09,"TE",2.,5.09219730735023,5.13960209417639
19,47.882059999999996,72.84858999999999,30.576,"DP",14.,6.12845372646983,5.47526445512275
19,97.38148,100.20014,27.896,"TE",4.,3.20026143664396,3.24892895515013
19,57.45144,82.7725,31.011,"DP",13.,6.3080793770207,4.24082050403026
19,41.82867999999999,83.79507,32.711,"DP",8.,5.99635928778457,5.00432002302127
19,33.99093,78.8463,32.139,"TE",8.,4.88624340029349,4.81826680168006
19,100.53708999999999,45.508759999999995,40.393,"TE",0.,4.24212794658199,4.89851885932795
19,63.01258,46.65146,34.443,"TE",7.,3.28977124499105,4.77784434580749
19,53.40804,94.36358,35.726,"DP",9.,5.43537985732817,5.15542402644695
19,52.080749999999995,60.659789999999994,39.485,"DP",11.,4.89209744276045,4.5032935487631
19,101.28424,105.72026,44.715,"TE",1.,6.22127960762181,5.41786333088917
19,40.281639999999996,57.940749999999994,41.949,"TE",8.,4.94261299674391,4.66111933175116
19,64.41311999999999,71.58576,46.57,"PRE",13.,3.57508652248861,4.95261234454489
19,43.57496,94.26982,47.095,"TE",8.,5.13668876934104,4.37822498710616
19,57.31666,99.68446,48.309,"DP",8.,5.54213818861654,5.06600839588301
19,41.7818,82.92192999999999,52.211,"DP",12.,6.50430497569788,4.70604383816888
19,41.01414,66.12716999999999,55.67,"TE",9.,4.89783918723482,4.44030695443464
19,56.771679999999996,68.15765999999999,59.46,"DP",9.,6.61398208893362,4.24777569119968
19,58.10775999999999,83.25594999999998,60.143,"DP",9.,5.95181322764298,4.58444792492081
19,57.43093,52.681400000000004,59.494,"TE",8.,3.43735006079357,4.30198289485385
19,63.10048,103.2825,62.873,"TE",4.,5.54155308997821,4.94156390576446
19,73.96785,46.88586,63.833,"TE",3.,2.71682079252952,4.85094455427742
19,113.78948,83.90348,64.855,"TE",1.,4.25015949430482,4.99207151146603
19,79.36198,55.92491,71.257,"TE",4.,3.10569274828009,4.60463697090669
19,55.18655,84.13202,72.843,"TE",5.,5.08173054416924,4.0243538042682
19,87.92636999999999,73.29981,80.803,"TE",2.,3.96407356470076,4.97443244818013
19,92.68468999999999,91.1523,81.889,"TE",2.,6.05128183859701,4.79560623390673
20,77.59518999999999,67.07355999999999,4.4443,"TE",9.,4.81568208712387,4.85978004210019
20,65.96016,76.27668999999999,4.6012,"DP",10.,5.66768147855825,5.40129755650097
20,64.70612,90.35534,6.7952,"TE",7.,4.2050674201338,4.75097896291458
20,91.79397,76.24152999999998,5.0138,"TE",7.,2.81236739126765,4.77734854905345
20,81.78801999999999,90.20298,5.8646,"TE",8.,4.9013559776323,4.88415943339667
20,62.9657,57.77080999999999,8.9327,"TE",11.,3.89139857448752,4.65760578456372
20,76.99747,73.39943,9.0694,"DP",8.,5.71647712924965,4.79163763713138
20,47.68575,78.57381,10.657,"TE",8.,3.57726906604801,4.67790342024073
20,53.96474,75.78151999999999,12.644,"DP",12.,5.78018950767773,5.5488708937262
20,83.92399,61.67063999999999,13.104,"DP",8.,6.03978450187807,5.28514861298107
20,69.71349,84.05583999999999,13.668,"DP",11.,6.00146774112298,4.69972486163987
20,50.32861,64.59478,16.329,"DP",10.,6.18977112346166,5.22703859024393
20,103.56084999999999,59.499509999999994,16.63,"TE",4.,2.67001277726052,4.82678165770812
20,66.13596,69.42342,17.569,"DP",12.,5.47723009791365,5.47898191748146
20,69.79845999999999,102.67013,17.676,"TE",10.,5.37167476670815,5.23531612904812
20,85.11357,46.79209999999999,19.708,"TE",7.,3.55465803726848,4.97005641131445
20,60.77112999999999,93.22088000000001,17.85,"DP",10.,4.96765231950757,5.66106474230042
20,65.53237999999999,53.06229999999999,19.157,"DP",9.,6.38370490607185,5.48052727435306
20,81.11998,107.86501999999999,22.078,"TE",4.,3.68722208006709,5.09446527056192
20,63.958969999999994,46.27349,24.409,"DP",8.,5.53141353398384,4.69840890552605
20,42.55532,80.8094,25.04,"DP",11.,6.07988590608858,4.86217412248554
20,51.80533,52.93630999999999,28.41,"DP",11.,6.59707921334376,4.96539038297309
20,44.14337999999999,93.58713,29.313,"DP",10.,5.94753808086946,5.365513315859
20,70.81517,41.257329999999996,33.001,"TE",10.,3.43025994838477,4.84384019854892
20,45.7373,66.47583999999999,29.418,"DP",13.,5.62700548521719,5.27055808346363
20,62.96276999999999,82.47657,30.415,"DP",14.,5.23675094569174,5.39345377357917
20,57.140859999999996,94.00026,31.018,"DP",9.,6.0543179924811,5.44447378327435
20,54.12882,104.80609999999999,35.105,"TE",7.,4.53760536305294,4.92439243905878
20,61.59738999999999,64.44828,33.095,"DP",14.,6.65758803224223,4.01313175998901
20,123.64893,86.51997,40.846,"TE",0.,4.70206401111138,5.27958754868529
20,37.14654,65.85175,41.383,"TE",12.,3.27807261904684,4.74542207388104
20,60.54259,99.49400999999999,41.19,"DP",9.,6.68181905309464,5.12911218357354
20,40.53362,83.38486999999999,41.602,"DP",9.,5.25650313588162,5.42511967996069
20,50.176249999999996,54.65915,41.951,"DP",8.,6.15905939408335,5.29959258973474
20,55.73738999999999,86.03652,43.691,"DP",13.,6.77582982502501,4.98883237354354
20,50.097139999999996,48.995459999999994,46.747,"TE",11.,5.25911793638117,5.05041415768364
20,59.22409,57.381119999999996,45.1,"DP",11.,5.8880986211467,4.36148412316472
20,45.73437,97.63346,47.073,"DP",10.,5.99341888990746,5.23404267324233
20,117.13553999999999,49.88325,50.305,"TE",1.,5.37163622947044,5.35239853242265
20,73.54007,39.87144,49.197,"TE",6.,4.99581145215033,5.15280001408737
20,86.67526,112.45633,51.244,"TE",1.,3.2638364126291,5.50472574884858
20,47.87326999999999,63.77730999999999,51.509,"DP",11.,5.90480760497442,5.6315286712063
20,52.628659999999996,75.301,50.724,"DP",14.,5.62671385581246,4.81660673128117
20,63.191309999999994,108.70007,54.176,"TE",7.,5.56494943688251,4.91408901189946
20,60.261309999999995,49.253299999999996,54.951,"DP",9.,5.43623202697755,5.56590992180851
20,37.694449999999996,84.55686999999999,56.663,"TE",11.,3.47008548708572,4.85624011789346
20,39.73959,69.25934,56.043,"DP",9.,6.05321206717336,4.92283337962807
20,52.49388,94.34014,57.471,"DP",9.,6.86728469710638,4.87794050683209
20,47.73849,76.73376999999999,64.448,"DP",10.,7.03604164650181,4.18436203032523
20,55.56745,101.69443999999999,68.468,"TE",7.,4.32981519110208,4.77385522702712
20,86.36467999999999,41.99276,70.079,"TE",3.,4.22869366505778,5.78209974051861
20,48.08716,58.649809999999995,67.028,"TE",11.,3.69667256800561,4.90853324562105
20,116.12761999999998,55.347699999999996,70.417,"TE",1.,4.92063704540076,5.33347123837851
20,115.71449,86.09218999999999,72.148,"TE",1.,3.71128897664744,5.38617474282821
20,70.13834,44.82607,70.273,"TE",5.,4.70962546739662,4.70465782364668
20,57.18480999999999,58.08432,75.707,"TE",6.,4.67924549936692,4.87784495593313
20,48.752269999999996,85.39777999999998,77.108,"TE",8.,4.98423307524121,4.42777326829507
20,73.836,102.57051,86.211,"TE",1.,1.70318304517168,4.95476961956963
20,57.50417999999999,74.99920999999999,89.139,"TE",4.,2.20783456483344,4.26885459562198
20,99.42075999999999,85.28936999999999,94.132,"TE",1.,3.90432023618651,5.89071258959948
20,83.71889,57.017799999999994,94.194,"TE",1.,2.98095223114441,4.64131657274247
21,72.18641,62.43537,4.5743,"TE",6.,2.79334415387511,4.6413130236507
21,62.98913999999999,71.89634,4.5502,"TE",11.,3.9883142690664,4.8871703548837
21,75.05488,75.14864,5.9242,"TE",9.,5.55265587375418,4.90309034535126
21,80.64824999999999,50.22313,7.9267,"TE",5.,1.47015389869625,4.08686869551571
21,67.51892,87.26418999999999,10.616,"PRE",8.,3.43805134909653,4.89100958027938
21,81.18444,89.15403999999998,11.002,"TE",8.,3.66442718505363,4.94424853794639
21,57.18774,78.14896,10.488,"DP",8.,5.5380930009133,4.87580893389208
21,64.99033,53.05644,12.323,"DP",9.,4.92990937949136,4.82631942497674
21,46.938599999999994,80.37868999999999,13.635,"TE",9.,3.74025242331084,4.68800567426675
21,52.61694,47.70919,18.439,"TE",12.,4.03778056852586,4.65414327540696
21,61.65013,47.12904999999999,19.759,"DP",7.,5.8032793333732,5.02405466731289
21,57.13793,67.22885,18.002,"DP",15.,5.07853387113126,4.79123208838015
21,41.96932,71.37187,19.501,"DP",11.,5.81296123457062,5.01088581454928
