q,eps_G,T
0.1,-6.320830365290428,9.4897869315728
0.3,-6.502049317001042,9.4897869315728
0.5,-6.608255141744797,9.4897869315728
0.7,-6.688880135841465,9.4897869315728
0.9,-6.699637385573724,9.4897869315728
