"Coordinates of ICM cells in all embryo data sets to date","DateString[]"
"for Simon to run his signalling models on them"
"RunningID","BatchInfo","EmbryoIDInfo","Stage","X","Y","Z"
1,"Batch3","embryoA",3.5,97.8040254338623,91.87189445251285,7.1670590775375285
1,"Batch3","embryoA",3.5,106.30380479525817,78.24789721203334,15.353363714285512
1,"Batch3","embryoA",3.5,89.88968072499476,79.99751261615732,15.244473994860824
1,"Batch3","embryoA",3.5,121.01650940661112,74.86368096222377,19.708952491272925
1,"Batch3","embryoA",3.5,124.13028996474623,95.20731664722734,17.42716230332868
1,"Batch3","embryoA",3.5,106.67701938624501,91.46063027385422,24.881825903942257
1,"Batch3","embryoA",3.5,99.01880233785859,98.9574883102501,26.615497054782466
1,"Batch3","embryoA",3.5,96.92953242164809,80.63532062204318,29.64728047876416
1,"Batch3","embryoA",3.5,90.51536400988442,92.1716293623827,32.04163082611371
1,"Batch3","embryoA",3.5,104.98657682706941,72.14515503549723,38.23366307339835
1,"Batch3","embryoA",3.5,90.44218467831837,74.06554963245405,40.60721426085778
1,"Batch3","embryoA",3.5,109.57492091626028,83.32596423157251,38.615388831381516
1,"Batch3","embryoA",3.5,120.98357870740638,88.40751654076135,40.312355582415655
1,"Batch3","embryoA",3.5,84.55490745383022,91.01102790904945,44.58597119983618
1,"Batch3","embryoA",3.5,101.30931541587574,89.22307431877931,44.73645923904108
1,"Batch3","embryoA",3.5,95.68548378502535,92.39468789996026,56.62623781622191
1,"Batch3","embryoA",3.5,91.22154455949673,104.00070243329279,61.93981142814784
1,"Batch3","embryoA",3.5,110.28841939902922,87.21554748058125,61.644952749705716
2,"Batch3","embryoC",3.5,97.4102661845932,132.44075077915707,24.399381670095764
2,"Batch3","embryoC",3.5,72.28621376513628,127.30973911349248,28.359990922917667
2,"Batch3","embryoC",3.5,68.57893232938336,111.69207457353193,46.3468406751849
2,"Batch3","embryoC",3.5,78.56920514184456,119.40041467955335,50.05128116380206
2,"Batch3","embryoC",3.5,95.21834098138388,134.62399230202817,50.33146574965101
2,"Batch3","embryoC",3.5,63.514556408610936,94.02121719347055,56.39446005557519
2,"Batch3","embryoC",3.5,80.68991255866801,110.5965129429215,61.661930269535404
2,"Batch3","embryoC",3.5,74.88170642453215,95.48722052651756,63.92442080026564
2,"Batch3","embryoC",3.5,75.02809854099196,125.86738099549461,62.27533438069756
2,"Batch3","embryoC",3.5,71.21794696934835,101.7650251220657,72.67618647110456
2,"Batch3","embryoC",3.5,91.56249461357629,110.91572334608497,73.31560772238126
2,"Batch3","embryoC",3.5,88.52386906111285,125.26048714256656,76.47769090553366
2,"Batch3","embryoC",3.5,102.44298975586076,121.42208056625527,78.90829218777328
2,"Batch3","embryoC",3.5,92.95124144810059,135.33334875350252,77.57441342728525
2,"Batch3","embryoC",3.5,90.9808826914251,96.33450739911194,81.4219481865324
2,"Batch3","embryoC",3.5,74.6997054148794,113.35906223449666,80.37225664883404
3,"Batch3","embryoF",3.5,99.99043104045495,116.01643547054152,9.214615013589134
3,"Batch3","embryoF",3.5,108.81490273814406,123.50025934741808,14.741742551357483
3,"Batch3","embryoF",3.5,104.95782326309097,110.48678643121673,19.85178668074197
3,"Batch3","embryoF",3.5,96.5782504015414,127.0130746365642,20.255482226634502
3,"Batch3","embryoF",3.5,105.71995431282565,97.72786534756221,22.00620270627046
3,"Batch3","embryoF",3.5,124.17358429878662,123.6686551751029,23.20905065933799
3,"Batch3","embryoF",3.5,114.63727446327431,121.35027540790723,24.39748091433793
3,"Batch3","embryoF",3.5,119.14816179317586,109.53123801365636,24.534449045980036
3,"Batch3","embryoF",3.5,114.84618348198329,102.05524650085816,31.791700351859216
3,"Batch3","embryoF",3.5,101.85900615224094,117.96277794401492,33.032652221248235
3,"Batch3","embryoF",3.5,114.05310294799544,137.47711304525816,31.68150794519978
3,"Batch3","embryoF",3.5,115.7669306385155,90.07564564300084,35.33742424091017
3,"Batch3","embryoF",3.5,129.3150673703468,99.6546269108397,38.48048241964484
3,"Batch3","embryoF",3.5,103.89006605635613,130.4671471951226,38.68130035701485
3,"Batch3","embryoF",3.5,98.14506804185885,136.8857695573417,39.44852786132591
3,"Batch3","embryoF",3.5,118.88895986255544,112.47620690712111,39.83986538030335
3,"Batch3","embryoF",3.5,106.47434799149701,118.47971397318693,41.37329055334921
3,"Batch3","embryoF",3.5,112.21547732046264,135.95371823201637,42.61424242273822
3,"Batch3","embryoF",3.5,110.96589189374033,101.30333954933526,43.24759130213594
3,"Batch3","embryoF",3.5,115.2988196891861,126.10452040347401,44.192980361139355
3,"Batch3","embryoF",3.5,121.87945377851936,98.52676648355532,52.399740068326984
3,"Batch3","embryoF",3.5,103.48772276106473,136.8387753728715,50.08466969290248
3,"Batch3","embryoF",3.5,113.85193130034975,134.4851499673232,56.87334581158499
3,"Batch3","embryoF",3.5,115.34911260109752,90.09522655319675,59.00922479674085
3,"Batch3","embryoF",3.5,119.74393936504967,108.66184560095797,58.18020715785442
3,"Batch3","embryoF",3.5,110.59449808270212,114.01135026648042,61.460233468231195
4,"Batch3","embryoG",3.5,103.04997104432785,92.66965139985494,14.708917519815818
4,"Batch3","embryoG",3.5,111.60376917852217,110.25807751901137,15.99340608393793
4,"Batch3","embryoG",3.5,113.90712624175251,97.39598155884318,17.37235743614896
4,"Batch3","embryoG",3.5,105.84181095223705,96.19841728952335,24.863667239374326
4,"Batch3","embryoG",3.5,126.33313145128447,123.61880344185008,24.47452162322542
