N-;N+;G6-;G6+;G4-;G4+
17;24;15;26;26;15
16;17;13;20;19;14
11;21;10;22;13;19
12;23;18;17;19;16
19;9;7;21;7;21
10;24;15;19;17;17
14;20;12;22;15;19
11;15;8;18;19;7
12;22;10;24;33;1
9;19;9;19;23;5
14;16;13;17;19;11
9;15;12;12;16;8
