"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
2,71.21794696934835,101.7650251220657,72.67618647110456,"ICM+Epi","N+G+",9.,29.135,32.656
2,91.56249461357629,110.91572334608497,73.31560772238126,"ICM+Epi","N+G+",9.,55.353,29.291
2,108.3263702200706,133.25651069835257,73.5957923082302,"TE","N-G+",6.,11.282,33.993
2,88.52386906111285,125.26048714256656,76.47769090553366,"ICM+Epi","N+G+",10.,32.228,35.212
2,83.80371244120543,81.18974716013427,78.32490785366636,"TE","N+G+",4.,12.728,37.902
2,102.44298975586076,121.42208056625527,78.90829218777328,"ICM+Epi","N+G+",6.,50.732,32.69
2,77.61567811301164,132.5510951160531,78.56606672934349,"TE","N+G+",6.,12.092,32.058
2,92.95124144810059,135.33334875350252,77.57441342728525,"ICM+Epi","N+G+",7.,19.395,36.608
2,90.9808826914251,96.33450739911194,81.4219481865324,"ICM+Epi","N+G+",6.,35.674,32.414
2,74.6997054148794,113.35906223449666,80.37225664883404,"ICM+Epi","N+G+",8.,39.141,37.037
2,109.81007410310939,99.29015928025512,84.49697401622461,"TE","N-G+",4.,11.728,42.91
2,86.92146886743093,111.0418311596804,86.43024765858235,"TE","N+G+",9.,15.206,34.495
3,83.77290129178651,92.37052831796142,5.114942568069843,"TE","N+G+",5.,14.94,54.485
3,96.45832115006031,102.65833853489218,6.250130323777325,"TE","N+G+",7.,15.156,49.812
3,86.62412252861108,124.29916048341116,6.840535059645147,"TE","N+G+",7.,13.78,57.243
3,99.99043104045495,116.01643547054152,9.214615013589134,"ICM+Epi","N+G+",7.,61.696,61.236
3,120.95483793645548,101.32292045953118,10.330956778251123,"TE","N+G+",10.,12.058,34.117
3,66.93251317252276,117.98235885421082,12.246450950088112,"TE","N-G+",3.,11.329,32.492
3,108.81490273814406,123.50025934741808,14.741742551357483,"ICM+Epi","N+G+",10.,19.964,64.011
3,104.95782326309097,110.48678643121673,19.85178668074197,"ICM+Epi","N+G+",11.,14.714,39.423
3,99.39078478304951,80.27344199892865,20.439822794784405,"TE","N+G+",6.,12.346,38.6
3,96.5782504015414,127.0130746365642,20.255482226634502,"ICM+Epi","N+G+",12.,39.554,56.533
3,116.62191014100972,131.99837437244273,18.55934303254013,"TE","N+G+",8.,14.523,41.603
3,76.61970174376934,66.56288867975293,16.281346737860872,"TE","N-G-",4.,9.7739,19.928
3,105.71995431282565,97.72786534756221,22.00620270627046,"ICM+Epi","N+G+",10.,49.337,36.926
