"Features of cell nuclei in mouse embryos","Tue 11 Jun 2019 13:09:53","","","","","","",""
"from Munoz-Descalzo lab: https://www.biorxiv.org/content/10.1101/159301v1.article-info","","","","","","","",""
"EmbryoID","CentroidX","CentroidY","CentroidZ","Identity","Population","DCGNeighborCount","Nanog-Avg","Gata6-Avg"
8,113.83187633830121,53.34260099496763,57.852509350759945,"ICM+Epi","N-G-",12.,6.4565,16.696
8,74.22815200441104,62.46055538028231,54.23995127991237,"ICM+Epi","N+G-",10.,29.311,18.187
8,116.79984560009436,78.8320084922899,57.7026585054472,"TE","N-G-",10.,5.9455,16.88
8,87.82980441213067,97.32332214766195,56.35630629525256,"TE","N-G-",14.,7.8583,18.959
8,138.10417290392476,114.30044970063081,58.8138601583818,"TE","N-G-",7.,7.4086,17.308
8,93.14110183329727,45.56369793394688,55.309655775683446,"ICM+Epi","N-G+",10.,8.2773,41.939
8,103.11318286482651,78.70065740870793,59.97347516134053,"TE","N-G-",12.,6.857,17.526
8,82.27456431191258,76.02985204254132,61.31060578105438,"ICM+Epi","N-G+",14.,7.648,26.487
8,126.76823053042584,118.02206373545312,58.904923364379556,"TE","N-G-",12.,9.5871,17.188
8,94.74890585431848,83.75402548540293,58.77005760359806,"TE","N-G-",22.,6.4423,16.743
8,149.62492033731118,128.34042107905853,59.78904335172483,"TE","N-G-",5.,9.1314,14.381
8,77.9796947201272,99.65480388124182,65.20211696394571,"TE","N-G-",9.,7.8316,19.762
8,94.17231406746949,109.13397374640688,62.209710852930925,"TE","N-G-",12.,8.0999,18.143
8,74.61993873137253,93.16751980877703,63.054639080732855,"ICM+Epi","N-G+",10.,9.1167,45.229
8,94.78956296749372,102.60290597941479,58.19831899378939,"ICM+Epi","N-G-",11.,7.8324,18.791
8,88.4987987289234,57.19556611337191,63.17913055222347,"ICM+Epi","N-G+",14.,9.0447,38.389
8,99.98258515033233,97.96183435951873,67.35651104001913,"TE","N-G-",12.,8.5312,16.493
8,125.16412261060238,99.49426366797496,64.93008004476255,"TE","N-G-",10.,7.6527,16.347
8,83.60516074310254,44.914239798458276,65.0188378531401,"TE","N-G-",11.,6.6321,18.548
8,72.89385947202334,53.02516920964455,65.28511127827277,"TE","N-G-",13.,8.459,17.099
8,97.76492443168239,56.61908080209552,63.29555313204338,"TE","N-G+",13.,7.7674,29.75
8,77.34766141531196,84.72091540621462,63.807351403726955,"ICM+Epi","N-G+",14.,8.7758,41.731
8,111.33331192862227,88.80739356209796,67.42797836624521,"TE","N-G-",14.,6.7332,16.495
8,76.0392415913085,64.28487598558736,64.15200834794629,"TE","N+G-",12.,41.013,17.784
8,91.64787694940631,66.94108678691153,64.87820859830812,"ICM+Epi","N-G+",15.,9.0134,39.109
8,90.3357610242051,78.70430604991854,66.10006933701216,"ICM+Epi","N-G+",11.,7.5271,27.803
8,100.29675375214107,59.257048397366624,69.99158051990348,"ICM+Epi","N-G+",11.,8.9084,32.473
8,112.36082806159675,108.58667756481537,68.59450956206453,"TE","N-G-",15.,7.5608,16.119
8,94.87087719384424,72.12215730597791,70.42153717607009,"TE","N-G+",9.,8.0241,31.797
8,88.45814161574815,92.75157471076747,71.62495473381256,"TE","N-G-",14.,7.6717,18.218
8,97.80188544365988,47.676261194890124,72.10678283643358,"TE","N-G-",12.,6.4177,15.677
8,83.78257360059453,58.096780492392604,72.19323524719093,"TE","N-G-",12.,6.9184,17.138
8,105.04254769005195,69.00256907090625,72.69811732601391,"TE","N-G-",13.,6.7441,16.58
8,72.10289381570486,72.99418255531371,71.76904208507482,"TE","N-G-",12.,7.6964,15.782
8,105.19778394035744,96.46224282195797,73.16496034410366,"TE","N-G-",9.,7.3867,17.1
8,108.88279683451408,119.55449304390937,71.76443128983442,"TE","N-G-",9.,7.997,16.382
8,101.84911625519604,118.99625093868603,72.18516635552025,"TE","N-G-",11.,7.38,16.261
8,105.86677825715017,55.389488714119906,73.62027637409243,"TE","N-G-",7.,6.9728,16.53
8,118.37808081153356,113.73491031298623,72.91021390707198,"TE","N-G-",8.,8.9981,13.591
8,74.79735158886454,69.79797285481925,72.85834246061758,"TE","N-G-",8.,9.3053,15.743
8,82.30043702029683,72.88472331899541,73.65946813363577,"TE","N-G-",13.,7.3277,18.691
8,98.64090041554913,81.20727392039709,73.53497666214517,"TE","N-G-",12.,7.0141,17.394
8,115.7057996455604,106.42668196813419,74.84559520922676,"TE","N-G-",8.,9.0731,14.042
8,75.57722894158975,90.47847123655737,74.19201498390112,"TE","N-G-",11.,7.2227,19.287
8,98.09018133708437,72.03823855813387,75.34932458923964,"TE","N-G-",11.,6.6902,20.373
9,108.53919363423427,92.19221692095454,0.17056136727541027,"TE","N+G+",7.,13.226,61.285
9,82.8904497184729,101.22263731565076,-0.5491560298332274,"TE","N+G+",6.,14.351,71.731
9,99.01445117145408,81.69711079944534,0.2041780096080794,"TE","N+G+",8.,13.069,60.59
9,103.6282920722955,69.99770752477883,2.9063594438026694,"TE","N+G+",10.,14.863,65.227
9,71.46677518158933,79.41509427199107,2.890755814597062,"TE","N+G+",6.,12.102,57.753
9,120.41409955506322,78.13123394355007,4.674273579311519,"TE","N+G+",8.,14.226,60.951
9,74.34337525424104,111.63094724594141,5.466043028928405,"TE","N-G+",5.,11.747,52.785
9,126.28010754635298,88.13811148945494,8.907905327009395,"TE","N+G+",7.,14.075,64.702
9,63.84096479291258,94.06556804808815,9.138517788062856,"TE","N+G+",5.,13.975,56.361
9,85.04883983834492,63.274619213308945,7.143318435963506,"TE","N+G+",6.,12.398,49.326
9,120.73748204689073,71.060960867206,13.140389749030389,"ICM+Epi","N+G+",9.,44.784,63.57
9,85.77833057572326,124.49848259409086,14.742056393958906,"TE","N+G+",4.,12.512,52.348
9,108.98666475664675,75.41885296797051,13.167925565275576,"ICM+Epi","N+G+",10.,19.08,68.232
9,88.34282894114611,57.0867740810201,18.725571144096314,"TE","N+G+",10.,20.878,57.098
9,75.77227463673472,63.31801730891822,18.318270528802884,"TE","N+G+",7.,13.023,56.318
9,116.07475774612189,119.9055174754428,17.43712440895682,"TE","N+G+",3.,12.675,57.486
9,109.99065458592517,68.9308376743842,18.361868904524435,"ICM+Epi","N+G+",9.,70.249,43.546
9,113.75843664186903,57.84262424621494,20.983508076201844,"ICM+Epi","N+G+",12.,14.289,56.293
9,60.68234510529499,83.22327716170477,20.604890602830494,"TE","N-G+",5.,11.744,49.556
9,94.64502727024978,64.13896461752697,23.96999681312802,"TE","N+G+",14.,18.829,64.867
9,116.98098077554553,76.90523774258811,23.28963268673646,"TE","N+G+",15.,19.623,57.565
9,131.85281513807834,87.4545914836089,25.015210504768334,"TE","N+G+",7.,14.072,54.188
9,73.71165131671751,122.8602044848408,27.468192801943964,"TE","N+G+",5.,12.304,52.039
9,132.22508102983323,99.23355793355908,29.62172309745315,"TE","N+G+",9.,12.485,50.449
9,60.103264829231776,102.86091542490082,26.466577486025194,"TE","N+G+",6.,12.512,53.991
9,97.41634001998091,53.40516897016677,28.88972931560187,"ICM+Epi","N+G+",8.,34.876,68.834
9,107.1930200054639,61.473598245524116,30.79084796219682,"ICM+Epi","N+G+",12.,15.252,68.997
9,108.30605741919581,127.19278102983323,33.42510771631994,"TE","N+G+",5.,14.562,54.456
9,127.9985470668783,67.5637976626921,32.93061034958342,"TE","N-G+",12.,11.433,47.574
9,128.9724548038937,83.24135970154198,33.92189973441023,"ICM+Epi","N+G+",9.,55.548,36.448
9,86.06035019068912,60.77199569984087,34.56325478778778,"ICM+Epi","N+G+",9.,84.24,30.254
9,73.70789105518463,60.504374110250346,36.906093819982644,"TE","N+G+",6.,18.358,54.012
9,95.33691539229935,62.08117158405394,36.73628961980397,"ICM+Epi","N+G+",10.,89.223,27.59
9,121.37296624594711,74.47494438846881,35.98249665009192,"ICM+Epi","N+G+",9.,12.476,52.577
9,107.91875048130936,54.547985487877625,40.89534519850446,"ICM+Epi","N+G+",13.,45.417,42.679
9,109.71615549402509,72.47501548247482,37.59907852881991,"ICM+Epi","N+G+",12.,20.6,50.382
9,117.81951909737734,82.59762128333776,42.23886356613433,"ICM+Epi","N+G+",15.,24.808,51.336
9,123.4335895659643,117.17505396002605,40.74619286050968,"TE","N-G-",5.,7.4282,21.904
9,86.75975883580443,54.15378611942673,43.791195206956885,"TE","N+G+",11.,17.366,41.098
9,58.437468970166776,95.21923408970133,44.42681363195001,"TE","N+G+",3.,15.215,56.92
9,65.11945371409112,112.75206471584764,43.0924738697352,"TE","N-G+",5.,11.808,44.545
9,115.68745080823547,62.95998302014171,44.04360685587112,"TE","N+G+",11.,58.664,31.237
9,101.90233202870445,69.05018243730969,44.941962860870426,"ICM+Epi","N+G+",13.,15.773,43.189
9,90.0236658463426,124.53464767376525,48.82107097441149,"TE","N-G+",5.,9.1129,29.599
9,113.61178644208675,121.49316447314871,51.07900790651702,"TE","N+G+",4.,12.236,47.677
9,86.70711517434415,64.96714494207059,50.97230661856691,"ICM+Epi","N+G+",10.,34.091,34.679
9,100.57871996913136,71.46962626752666,52.961769342281855,"ICM+Epi","N+G+",12.,20.769,42.943
9,127.70900692884666,77.1439272684391,52.51316500262063,"ICM+Epi","N+G+",9.,26.511,55.028
9,130.49536072470931,88.07663085400847,54.29840375585042,"ICM+Epi","N-G+",10.,10.226,37.635
9,128.66787361973059,99.47224745941008,53.206149711457904,"TE","N-G+",8.,11.565,44.311
9,108.18572905014372,60.059543630255305,54.93861148355108,"ICM+Epi","N+G+",9.,13.861,45.839
9,121.13983003090868,66.57287447961369,53.4746239198485,"ICM+Epi","N+G+",11.,21.994,55.023
9,112.18664732112597,72.78603516767461,55.79795841553636,"ICM+Epi","N+G+",12.,44.006,26.76
9,75.30976246819068,70.46062054461107,59.30762766112114,"TE","N-G+",7.,9.695,37.937
9,95.78438651471183,63.38311445233213,58.475816545381036,"ICM+Epi","N+G+",11.,39.966,38.569
9,117.49613660554982,82.40594636106346,57.356026684743334,"ICM+Epi","N+G+",11.,18.067,42.967
9,104.6398024246397,79.09322506288895,64.33520877722196,"ICM+Epi","N+G+",11.,11.982,51.586
9,93.74632476389192,74.0337304164412,65.93343344511983,"ICM+Epi","N+G+",10.,34.699,28.089
9,78.81056595530018,112.07216121796903,66.83637875282666,"TE","N-G+",4.,8.8631,31.967
9,86.60558811295644,66.5186268601021,67.54083671843276,"TE","N-G+",9.,10.121,31.016
9,108.38502291138624,64.50784843020578,67.99058838377086,"TE","N-G+",12.,10.615,35.499
9,115.70249185436697,74.9053088365941,67.69572568481196,"ICM+Epi","N+G+",9.,39.155,27.26
9,79.82207630764438,85.43296352981025,70.58698639055685,"TE","N-G+",5.,8.6283,35.883
9,114.37135927172815,94.88289884872945,71.44518599686525,"TE","N-G+",7.,9.765,36.036
9,109.2160407101523,84.97005050997801,73.2063309108805,"TE","N-G+",8.,10.093,35.112
9,93.87041339447688,88.60825752522207,73.23845602983323,"TE","N-G+",9.,8.2734,35.213
10,107.8925892113594,92.6272732971014,-3.5024017570792836,"TE","N+G+",10.,13.355,49.535
10,94.00626705763665,108.57207313344483,0.4701004549275858,"TE","N-G+",7.,11.483,46.48
10,113.677001825783,112.35078151615846,0.19995493843586942,"TE","N-G+",7.,10.032,42.157
10,103.36208797657858,78.79787538572356,6.554198814190812,"ICM+Epi","N+G+",9.,43.484,44.404
10,120.81608655571355,89.50309118782211,6.348491677779689,"ICM+Epi","N+G+",10.,36.992,54.785
10,86.1842484512935,92.83982564362906,6.410451658626412,"ICM+Epi","N+G+",10.,12.186,61.829
10,111.40428745018045,84.81007033036258,7.9383847863066315,"ICM+Epi","N+G+",10.,21.94,58.018
10,131.42955073340437,99.04095600740374,7.277891390480551,"TE","N-G+",7.,11.508,44.57
10,96.45064787211888,87.83641088330377,8.764930930801928,"ICM+Epi","N+G+",11.,28.439,47.676
10,118.88297317876426,73.59202981918148,11.066124619449262,"TE","N-G+",11.,10.807,43.52
10,79.39969223644052,100.50183165893499,9.86286179140588,"TE","N+G+",6.,11.88,51.827
10,98.05535588773317,128.5115075457998,10.224708079550748,"TE","N-G+",2.,10.733,47.076
10,131.64226784245093,80.11367562613277,14.658564308942328,"TE","N+G+",10.,14.795,50.385
10,106.47447515104909,92.09757935416744,15.604073616663335,"ICM+Epi","N+G+",17.,51.161,34.318
10,90.12138090820763,71.49687097483758,18.669853468959243,"TE","N+G+",10.,13.347,50.773
10,126.61915856566758,88.69674180972517,18.684723864362457,"ICM+Epi","N+G+",8.,25.207,44.81
10,120.23018153605904,89.88770971963402,16.093557465352458,"ICM+Epi","N+G-",10.,13.258,21.671
10,109.16515998653259,69.16554285657408,18.570717499604488,"ICM+Epi","N+G+",10.,27.25,56.159
10,118.93895136535545,81.92543134177315,19.651299565571353,"ICM+Epi","N+G+",14.,28.478,39.974
10,90.45351814864873,82.272937559112,22.37877792244415,"ICM+Epi","N+G+",10.,16.589,26.742
10,100.6116930753978,75.35992552680821,22.124742000972578,"ICM+Epi","N+G+",12.,25.832,41.069
10,71.54781859724872,111.09571051761428,24.771672382744637,"TE","N-G+",4.,11.528,46.123
10,77.21654295938386,84.56040566936186,26.067875182058106,"TE","N-G+",10.,10.5,38.073
10,79.36983720359187,92.52943174076329,25.320637813046613,"ICM+Epi","N+G+",11.,12.966,65.249
10,102.50375578218024,83.64946704138625,27.60076510820606,"ICM+Epi","N+G+",13.,40.267,36.41
10,142.7744632158868,97.97482042799525,24.174378167382212,"TE","N-G+",6.,9.0516,35.238
10,102.45897323290727,62.85982324292071,29.324491775361924,"TE","N+G+",11.,12.216,42.74
10,129.68303131175907,75.48475785730857,30.33320026354659,"ICM+Epi","N+G+",12.,34.031,36.029
10,111.97526495341063,74.6682869389008,28.688782371874535,"ICM+Epi","N+G+",12.,20.876,42.858
10,116.58040377031305,81.7128789952455,30.661588162034224,"ICM+Epi","N+G+",10.,22.86,41.336
10,136.74001470135585,125.31647465434462,33.68523522735437,"TE","N-G+",3.,10.396,41.153
10,91.69996577007936,69.69861064627833,32.04949173300085,"ICM+Epi","N+G+",11.,25.321,49.037
10,127.21625922264035,86.16973057878543,30.760724131388987,"ICM+Epi","N+G+",12.,17.899,46.312
10,119.06956713406825,67.64731180994806,36.33340480874335,"ICM+Epi","N+G+",12.,37.667,34.454
10,115.69221654306608,141.00823598291703,36.35571040184817,"TE","N-G+",3.,9.3065,33.025
10,141.63250820942642,88.42683406810276,38.9406808027735,"TE","N+G+",7.,15.181,42.683
10,94.1256871890312,141.03522675707927,42.50957569954481,"TE","N-G+",2.,10.18,39.936
10,107.27309727975015,68.04879957561138,41.22700409601762,"ICM+Epi","N+G+",11.,49.385,37.228
10,78.90708419443799,75.0225408497802,43.36214503599574,"TE","N+G+",9.,14.068,46.981
10,90.71474968607431,78.84173539373721,40.86515780787275,"ICM+Epi","N+G+",12.,13.521,39.695
10,66.68144824292071,95.45455689059607,45.805846680590534,"TE","N-G+",6.,10.305,40.38
10,113.4941397495851,77.05359660548879,42.871421987689686,"ICM+Epi","N+G+",11.,17.845,45.274
10,127.34314311224703,78.76413691802075,44.91610135563158,"ICM+Epi","N+G+",11.,32.21,31.197
10,131.28773932737334,70.11021995225248,50.25085570653452,"TE","N-G+",9.,11.4,38.798
10,104.05248561120334,72.58324963486776,49.353675183873946,"ICM+Epi","N+G+",8.,37.558,31.598
10,138.9642146485794,83.10965155814144,51.37976655756184,"TE","N-G+",5.,11.761,37.422
10,91.95000167018671,72.4887819252999,50.66846597744144,"ICM+Epi","N+G+",10.,42.573,31.9
10,129.59346621321313,137.11144296324358,54.92387746199445,"TE","N-G+",3.,10.467,32.267
10,120.21152214052866,68.70669969581598,53.291851566491744,"ICM+Epi","N+G+",9.,43.176,32.41
10,76.66049297257798,78.24456451539764,55.31794294017962,"TE","N-G+",5.,10.393,38.493
10,109.80331131367222,63.88209881431555,56.10483469693301,"TE","N+G+",9.,14.058,39.348
10,144.85685175707928,103.70698609070102,67.73720150109699,"TE","N-G+",3.,9.3348,30.575
10,123.48438011656059,109.88787337385403,67.06803370795237,"TE","N-G+",2.,7.3553,24.22
10,118.03583662168414,68.71007354258627,68.43611008504804,"TE","N+G+",8.,13.666,34.641
10,134.36280771078307,77.63052440320666,68.77688997970502,"TE","N-G+",6.,9.0937,31.932
10,112.77761896121778,139.99270810506272,70.15859755258697,"TE","N-G+",3.,8.4305,31.857
10,100.01832429753112,68.57849351854536,71.47958434423913,"TE","N-G+",5.,11.649,39.461
10,90.02435205144955,100.5490655137189,70.9541637066589,"TE","N-G+",3.,7.1906,26.314
10,107.46342311416022,123.53845740640703,71.37053477794889,"TE","N-G+",4.,7.7407,25.889
10,89.50935273481055,135.07701336076474,69.05570989351529,"TE","N-G+",4.,9.9446,28.804
10,77.63824529837086,120.19160141028925,72.75100315121391,"TE","N-G+",2.,7.8098,27.887
10,79.38849659912228,82.05363751904379,74.67300175707929,"TE","N-G+",4.,10.164,31.333
11,117.58150187874857,121.3073500991436,-5.153052614200315,"TE","N-G+",6.,10.224,34.277
11,118.83284552024725,139.07310798643047,-4.1168333762419325,"TE","N-G+",5.,11.344,37.626
11,128.0831095662429,112.29252108206519,-5.606510772925603,"TE","N-G+",6.,10.354,38.598
11,92.37142127805855,124.08006097559084,-3.88952705169845,"TE","N-G+",4.,10.294,26.51
11,135.70870092852485,125.52975244906324,-0.36461142408538016,"TE","N-G+",4.,10.203,34.099
11,78.84515699854393,100.05459160454811,2.5934494359443647,"TE","N-G+",4.,10.749,42.829
11,126.0539970867962,98.11580519221002,1.624062362256387,"TE","N-G+",8.,9.1736,35.04
11,96.64742151157748,88.75614664988817,6.086424163551044,"TE","N-G+",6.,11.426,35.174
11,76.6570340011167,121.45161551276587,11.966628405691697,"TE","N+G+",7.,12.325,45.352
11,108.8739476441211,148.31665046412954,10.07069867840464,"TE","N-G+",4.,11.322,36.635
11,107.93025478741077,113.25663628529684,11.01481524084258,"TE","N-G+",7.,10.517,45.244
11,132.58034182477817,87.28886183329108,13.027476771365855,"TE","N+G+",6.,12.228,36.019
11,146.15154385937424,96.37406422286817,14.940082470543803,"TE","N-G-",5.,7.1986,20.013
11,106.28829835174263,81.19100910628214,12.478452466035094,"TE","N+G+",9.,19.075,30.615
11,147.1781987254657,119.48116108280337,16.452464844340454,"TE","N-G+",3.,11.167,28.824
11,118.7325997589117,101.8948552953881,17.59797583653757,"TE","N-G+",8.,11.674,45.044
11,126.3651046219754,75.5928073240137,19.082137334826566,"TE","N+G+",8.,15.052,28.032
11,84.7458299157766,75.09667504789815,22.147950628612815,"TE","N-G+",5.,10.025,37.394
11,88.98380589499584,140.0020365034128,21.97605984142982,"TE","N-G+",8.,11.161,37.813
11,116.3128744852955,67.57024285916638,21.330828005959326,"TE","N-G+",6.,8.7842,30.44
11,115.45214363796632,152.4651607729256,21.9234663916201,"TE","N-G-",5.,7.144,15.804
11,104.2937533762047,65.8355392270744,24.673718986548014,"TE","N-G+",5.,9.7713,34.07
11,79.85798486307186,122.04627051037956,23.34733783768819,"ICM+Epi","N+G+",10.,14.719,56.582
11,115.2274548625591,95.2164222452652,25.25737800272908,"TE","N-G-",7.,8.1229,23.416
11,73.45262638877067,103.65067093922967,23.96947986592515,"TE","N+G+",10.,23.055,38.587
11,78.33701469108453,130.44533251809472,26.71844969378453,"ICM+Epi","N+G+",8.,13.629,39.899
11,67.6729397352188,128.33061267450995,29.902277557875532,"TE","N+G+",9.,14.929,43.324
11,71.47190841479625,92.32407663557024,31.955987634591754,"TE","N-G+",5.,10.919,44.083
11,129.44852597064065,68.25990190965327,33.999435574759744,"TE","N-G+",6.,9.9118,31.517
11,135.31463138396452,136.35317713935726,31.63144756625371,"TE","N-G+",5.,9.3124,24.201
11,76.07629993544882,105.37129989682191,35.10902908903803,"ICM+Epi","N+G-",9.,50.141,21.744
11,116.54447676148449,148.65796132074806,34.62414313713377,"TE","N+G+",4.,13.009,29.221
11,80.3972379240492,139.19626138830313,40.08488254786518,"TE","N+G+",12.,13.35,30.894
11,74.42397324860804,119.10818220856046,40.338870427434074,"ICM+Epi","N+G-",14.,60.9,18.869
11,63.334717994664025,120.62824705453153,41.295814660557326,"TE","N-G+",9.,10.11,36.13
11,89.50923195440966,134.02029984102666,41.8717770743272,"ICM+Epi","N+G+",10.,13.498,26.99
11,85.95223580219383,112.45789850743705,42.8184591709022,"ICM+Epi","N-G+",15.,9.2476,40.059
11,68.29861155596814,106.90192074866779,43.491911881880355,"ICM+Epi","N+G-",12.,51.42,20.618
11,142.09677565087165,82.01437756451647,43.21483419507791,"TE","N-G+",5.,9.6927,27.881
11,149.8087857729256,114.78021979989283,46.07412199083086,"TE","N+G+",2.,12.896,30.99
11,84.24114435870808,120.66343374078087,46.23575064146563,"ICM+Epi","N+G+",16.,13.837,34.215
11,75.16717458264729,88.78781466751256,45.355772432454174,"TE","N-G+",10.,8.7986,30.42
11,70.43142654714129,125.54030845493806,47.56341455739398,"ICM+Epi","N+G-",11.,31.113,22.037
11,102.73475894991769,142.96475548560645,49.72359430079818,"TE","N+G+",8.,15.103,26.011
11,117.11484057597973,67.19022664767363,49.97501664623003,"TE","N-G+",7.,7.451,26.106
11,76.3943209714098,97.67597161409338,50.36497783506309,"ICM+Epi","N+G-",9.,61.113,20.314
11,63.17916422707441,110.2059505874799,55.83213108113715,"TE","N-G+",11.,11.147,34.094
11,81.44463329248592,83.71389451035913,56.579984282090024,"TE","N-G+",7.,9.1325,32.224
11,146.00290359256638,98.47119072332825,58.08082175226991,"TE","N-G-",3.,8.9087,24.086
11,78.67577622939079,107.1376715465383,56.42605223386644,"ICM+Epi","N+G-",11.,45.518,17.801
11,92.58228305190225,135.00552705600788,54.38516982783551,"ICM+Epi","N+G+",10.,20.377,30.018
11,80.39378117365831,95.62458780575743,61.623824395549235,"ICM+Epi","N-G+",13.,11.484,40.962
11,72.10795048671822,115.01597059776334,57.218802282217865,"ICM+Epi","N+G-",12.,51.29,18.225
11,79.0421917708241,126.48683031504504,60.24100149567411,"ICM+Epi","N-G+",10.,10.535,33.183
11,95.25089435366183,74.96648430877562,60.553996660395384,"TE","N-G+",7.,7.9531,25.711
11,69.64674420841145,129.21379849936815,62.788576893774305,"TE","N-G+",11.,8.5838,29.454
11,79.30144805014014,133.04914730054514,58.500286583679156,"ICM+Epi","N+G+",8.,18.751,24.764
11,129.84605226559188,138.4362289653176,59.50084489713241,"TE","N-G+",4.,9.6392,24.613
11,84.13744184698167,105.88150684743722,62.08048947194585,"ICM+Epi","N+G-",13.,36.24,16.954
11,122.97748923891272,74.69202815603084,62.17797976915412,"TE","N-G+",6.,8.1318,24.229
11,81.30982002724159,119.53394111217736,63.559519901960726,"ICM+Epi","N+G-",11.,32.707,18.045
11,95.0987973364631,127.60224826914879,63.80452841204992,"ICM+Epi","N-G+",11.,8.5222,35.919
11,95.6415071478313,111.39877925133221,65.5375467216337,"ICM+Epi","N-G+",15.,8.2384,34.649
11,88.1161615468849,135.61425672812132,65.26303456896832,"TE","N-G+",11.,8.2087,26.455
11,106.69273814747564,135.80074616524277,70.05930063820128,"TE","N-G+",8.,6.9661,26.068
11,111.33515392242788,77.9467966340939,75.25707279988409,"TE","N-G-",6.,6.6025,21.656
11,90.46675181268351,120.81825516027793,75.60470267545567,"ICM+Epi","N+G-",10.,33.784,19.119
11,88.35813407424651,103.32695342573582,75.33019052279029,"ICM+Epi","N+G-",10.,31.4,17.879
11,80.98142874010796,97.05668593610517,75.68936530197863,"TE","N-G+",8.,8.3494,26.679
11,78.9212055071433,111.47970862970566,77.39544550312328,"TE","N-G-",13.,10.398,21.285
11,97.91259215463967,92.5000100668169,77.90726956346668,"TE","N-G+",11.,7.8978,27.288
11,102.12291413073187,123.47133130347741,78.2048715233656,"TE","N-G+",10.,7.8184,24.284
11,128.64655987995638,92.68649950393835,78.59483271219864,"TE","N-G-",5.,6.4707,21.75
11,128.11076356936996,126.72258111291555,75.31864561917352,"TE","N-G-",5.,5.6952,19.957
11,108.28975682806234,98.95324832494407,80.16878790528473,"TE","N-G-",8.,6.7891,18.665
11,104.57720690825688,110.57189212447294,80.93459984519704,"TE","N-G+",8.,7.5964,25.692
11,93.32548438594151,112.66901862493302,81.02311077292559,"TE","N-G-",9.,9.0623,21.192
11,127.82385328692692,109.39313813512037,80.45099666036128,"TE","N-G+",5.,8.1809,24.261
12,95.968305470551,108.16989281788156,-1.7097459656243927,"TE","N+G+",7.,13.511,33.537
12,100.20826495283941,74.84515085413187,1.4674778192549196,"TE","N-G+",7.,9.6606,33.042
12,80.04315261399825,69.28170819407633,-1.0037491668851866,"TE","N-G+",5.,11.121,35.702
12,85.81639541039448,72.80079535404865,-0.8831056518509728,"TE","N-G+",7.,10.466,33.32
12,97.74151575801557,102.13817043643945,0.4920875052073308,"TE","N+G+",7.,13.586,32.482
12,85.24656884867225,62.07928650916778,2.3442572444097864,"TE","N-G+",9.,10.449,41.116
12,103.15861695333543,59.832242771469474,4.221675182217624,"TE","N+G+",10.,14.872,39.521
12,109.7378644258519,119.45753087817008,7.450467221795669,"TE","N-G+",6.,9.4282,29.801
12,128.93577115334878,82.91773411087073,9.440549291116206,"TE","N-G+",8.,9.9243,34.626
12,114.46517557277117,97.85725507301733,3.6400138520822845,"TE","N-G-",6.,7.3509,20.652
12,68.15177199700545,100.14623430815323,4.983408570330979,"TE","N-G+",5.,8.5181,31.287
12,69.28767626149121,113.26855038133696,5.7223947606442005,"TE","N+G+",4.,15.718,32.177
12,80.792924405738,118.73763817215789,6.136846322657095,"TE","N-G+",7.,10.287,35.249
12,93.67400378782729,123.73495161680574,12.45246883229612,"TE","N-G+",6.,10.361,28.554
12,112.53076435008256,63.672835411796754,7.824426389818796,"TE","N-G+",8.,10.302,35.108
12,130.9076709656244,99.18521249187481,16.863757871651764,"TE","N-G+",3.,8.3257,29.848
12,82.1350159129522,57.96960776028255,15.652558910252012,"TE","N-G+",10.,9.8619,38.586
12,99.73215986508465,67.5798259230669,19.01223665863815,"ICM+Epi","N-G+",15.,11.12,36.646
12,97.84648380885912,60.46476985782001,18.05590158882104,"ICM+Epi","N+G-",9.,61.815,21.893
12,67.52571255090274,68.16342826240688,22.385014887432742,"TE","N-G+",10.,9.6795,29.858
12,95.57467527988761,51.43815403437563,22.8637778987235,"TE","N-G+",10.,10.417,33.832
12,125.584291244272,72.3499887565944,20.360395187944462,"TE","N-G+",8.,8.0795,35.538
12,116.6507603456926,58.832780082539905,20.309184219075053,"TE","N-G-",12.,9.2259,15.602
12,62.77590825023129,112.24462531890211,25.660134989546137,"TE","N-G+",5.,9.6497,32.317
12,122.79139132004133,63.777674155390756,25.904280306249134,"TE","N+G+",8.,13.434,29.197
12,117.17934945886914,67.939772276073,28.449346363782347,"ICM+Epi","N+G-",11.,54.832,19.175
12,89.17162417842997,59.08089844237906,28.606552128683788,"ICM+Epi","N+G-",11.,41.994,22.532
12,56.13667903437562,89.35832759232949,30.445383196924908,"TE","N-G+",4.,9.318,31.253
12,101.52786330630141,56.88277945169129,30.84911618405816,"ICM+Epi","N+G+",10.,13.598,34.807
12,112.02841724961691,120.84839154318396,31.611325953277273,"TE","N-G-",3.,7.4232,21.005
12,117.31055952242362,77.50106569184682,34.09565341982583,"ICM+Epi","N+G+",11.,14.212,30.501
12,104.87559435641948,67.3666538110924,33.79791522872461,"ICM+Epi","N-G+",13.,11.526,29.922
12,129.54308630465798,86.18870291100389,34.85071747245852,"TE","N-G+",9.,8.377,27.735
12,81.28777378828626,56.701058962795,36.61809137483535,"TE","N-G+",11.,10.256,25.089
12,76.53047176969741,122.55726306376636,37.8781193995757,"TE","N+G+",3.,16.916,29.162
12,91.83331403910614,126.2091459656244,38.44858577372563,"TE","N-G+",3.,8.1069,26.456
12,112.75944474656319,59.87417826890708,38.63913821603042,"ICM+Epi","N+G-",12.,53.988,20.519
