x,y,z,Nanog,Gata6,eps_G
304.73560381704516,320.33942086212573,351.3576834485028,1.285795826328086e-220,0.09967695003250185,9.692100429473268
319.75780254777067,306.64474522292994,346.43869426751587,3.2591525407687626e-144,0.09965639920580009,9.692100429473268
273.38817158405806,300.557248039268,332.21322627114125,1.2940616327135243e-186,0.09966742546510317,9.692100429473268
187.55961182994454,298.1658964879852,341.4103512014788,0.09962069859938892,7.866880788531836e-205,9.692100429473268
239.8174231332357,280.12682284040994,332.5043338213763,0.09962246766235162,5.097726729684247e-246,9.692100429473268
272.9796970961779,230.1751535388468,339.30937332299806,1.1729417924560541e-54,0.09963047769257681,9.692100429473268
294.729890593821,284.70924791853025,334.8509254799422,0.09961681423697238,1.3175953875718306e-123,9.692100429473268
205.73197781885398,271.3542955878808,329.6780920999759,2.3622215010914303e-146,0.09965722241725104,9.692100429473268
294.85718862121985,234.01441568426446,323.8696822142491,3.770903198061127e-184,0.0996673833285204,9.692100429473268
281.93007425742576,197.4192450495049,336.7435024752475,7.53666959788629e-266,0.09968750004278523,9.692100429473268
317.4114828039842,370.4678631836121,335.6731817327571,0.09961694635254092,3.495490319287501e-121,9.692100429473268
316.9775834190798,254.23460238130238,329.58474202557693,0.09962242049432948,1.3303320964768866e-249,9.692100429473268
252.8590276019245,246.82534818941502,334.85208913649024,3.1301059525393047e-174,0.09966598678508252,9.692100429473268
232.1323389830509,235.33735593220337,337.0806779661017,0.09961265140261781,1.7334112575938108e-32,9.692100429473268
269.18060857538035,357.4480497925312,323.2177316735823,1.3766524195476911e-291,0.0996950979149156,9.692100429473268
286.35714285714283,308.1938775510204,352.4455782312925,1.0901502944030074e-124,0.09965015891735815,9.692100429473268
245.33347379066242,214.84507556604302,332.30819147143103,0.09962069600187824,4.9577674082633196e-203,9.692100429473268
270.7976406533575,203.65245009074408,342.62704174228674,1.0846301140093762e-258,0.0996857177274709,9.692100429473268
275.84020934076017,274.494062557385,329.09276488951457,0.09961446235008355,1.3886292303996057e-73,9.692100429473268
281.06250423011846,332.2886294416244,317.1090693739425,0.09962219579184993,7.658313898990561e-239,9.692100429473268
199.36035714285717,239.58267857142857,324.60642857142864,1.0518466712931129e-212,0.09967524599928486,9.692100429473268
194.81451612903226,252.36861823723652,315.8609982219964,0.09961909576501143,3.973761788237691e-169,9.692100429473268
198.62633873566486,303.9083025305658,319.0535020377216,7.59273323302416e-82,0.09963702712665122,9.692100429473268
295.66842105263163,189.08947368421056,334.1421052631579,0.099615096959196,6.264784364866571e-84,9.692100429473268
334.12241169305724,353.2588306942753,319.01948842874543,6.5165485893535995e-111,0.09964760142760355,9.692100429473268
183.4144561293361,280.06050855438707,325.7792340291948,0.09961713119842355,7.756949551695842e-125,9.692100429473268
217.0747030356357,306.3771227452705,303.1506819181698,0.09961658830458013,5.555781514911721e-116,9.692100429473268
334.4212223156714,286.84707036725536,316.4130922343706,0.0996124536252853,8.824432620770493e-31,9.692100429473268
206.03661040145985,208.37203467153287,309.7335196167883,0.09961713514479091,3.3717684681258393e-128,9.692100429473268
164.78072445019404,297.85805663360645,307.3765272387523,0.09961924901725758,1.962857786564212e-172,9.692100429473268
185.8301960275217,333.75529014669615,307.64455406984285,1.0813117636628465e-151,0.09965734977123812,9.692100429473268
